,FID,FID_1,FID_,TA_DATE,TRACKID,Name,Shape_Leng,Distance,LATITUDE,LONGITUDE,TA_DATE2,ZTIME,LOCALTIME,ORBIT_NAME,FLAG_TRUE_
75,75,221668,540865,Fri Sep  8 03:59:20 2017,SENTINEL-2A_40697,RELATIVE ORBIT 118,1.20669584331,0.01008747,-73.3749008,67.5684967,2017-09-08 03:59:20,5,2017-09-08 08:59:20,R118,1
76,76,224018,546592,Fri Sep  8 05:37:59 2017,SENTINEL-2A_40697,RELATIVE ORBIT 119,0.82003062618,0.00764777,-66.8532028,52.5033989,2017-09-08 05:37:59,4,2017-09-08 09:37:59,R119,1
77,77,226393,552493,Fri Sep  8 07:19:48 2017,SENTINEL-2A_40697,RELATIVE ORBIT 120,0.992249455069,0.00873494,-70.4745026,22.5750008,2017-09-08 07:19:48,2,2017-09-08 09:19:48,R120,1
78,78,228752,558287,Fri Sep  8 09:01:21 2017,SENTINEL-2A_40697,RELATIVE ORBIT 121,1.20669584331,0.01072309,-73.1304016,-7.4267998,2017-09-08 09:01:21,0,2017-09-08 09:01:21,R121,1
79,79,231081,563994,Fri Sep  8 10:39:56 2017,SENTINEL-2A_40697,RELATIVE ORBIT 122,0.80331942482,0.00727716,-66.3677979,-22.4923992,2017-09-08 10:39:56,-1,2017-09-08 09:39:56,R122,1
80,80,233457,569914,Fri Sep  8 12:21:47 2017,SENTINEL-2A_40697,RELATIVE ORBIT 123,0.96024290225,0.00965711,-70.1122971,-52.3959999,2017-09-08 12:21:47,-3,2017-09-08 09:21:47,R123,1
81,81,235824,575797,Fri Sep  8 14:03:22 2017,SENTINEL-2A_40697,RELATIVE ORBIT 124,1.15532493156,0.00960649,-72.88490299999998,-82.4376984,2017-09-08 14:03:22,-5,2017-09-08 09:03:22,R124,1
82,82,238176,581421,Fri Sep  8 15:41:52 2017,SENTINEL-2A_40697,RELATIVE ORBIT 125,0.7880551977879999,0.00670929,-65.8267975,-97.4518967,2017-09-08 15:41:52,-6,2017-09-08 09:41:52,R125,1
83,83,240553,587389,Fri Sep  8 17:23:47 2017,SENTINEL-2A_40697,RELATIVE ORBIT 126,0.931110825389,0.00706356,-69.8005981,-127.4609985,2017-09-08 17:23:47,-8,2017-09-08 09:23:47,R126,1
84,84,242922,593294,Fri Sep  8 19:05:23 2017,SENTINEL-2A_40697,RELATIVE ORBIT 127,1.15532582779,0.01025229,-72.6368027,-157.4600067,2017-09-08 19:05:23,-10,2017-09-08 09:05:23,R127,1
85,85,252604,616551,Sat Sep  9 01:48:48 2017,SENTINEL-2A_40697,RELATIVE ORBIT 131,1.39331010387,0.01038114,-74.52100369999998,97.5707016,2017-09-09 01:48:48,7,2017-09-09 08:48:48,R131,1
86,86,254980,622276,Sat Sep  9 03:27:45 2017,SENTINEL-2A_40697,RELATIVE ORBIT 132,0.904587414074,0.01151005,-69.0790024,82.5072021,2017-09-09 03:27:45,6,2017-09-09 09:27:45,R132,1
87,87,257348,628182,Sat Sep  9 05:09:24 2017,SENTINEL-2A_40697,RELATIVE ORBIT 133,1.10859447346,0.01291329,-72.0988998,52.5376015,2017-09-09 05:09:24,4,2017-09-09 09:09:24,R133,1
88,88,259860,634010,Sat Sep  9 06:50:50 2017,SENTINEL-2A_40697,RELATIVE ORBIT 134,1.3251904396699998,0.01370266,-74.3332977,22.5268002,2017-09-09 06:50:50,2,2017-09-09 08:50:50,R134,1
89,89,262226,639748,Sat Sep  9 08:29:43 2017,SENTINEL-2A_40697,RELATIVE ORBIT 135,0.880428068581,0.0113147,-68.6579971,7.5429101,2017-09-09 08:29:43,1,2017-09-09 09:29:43,R135,1
90,90,264581,645602,Sat Sep  9 10:11:24 2017,SENTINEL-2A_40697,RELATIVE ORBIT 136,1.066088659,0.01304774,-71.7966003,-22.4316998,2017-09-09 10:11:24,-1,2017-09-09 09:11:24,R136,1
91,91,267091,651465,Sat Sep  9 11:52:51 2017,SENTINEL-2A_40697,RELATIVE ORBIT 137,1.3251904396699998,0.01275669,-74.09439849999998,-52.4076996,2017-09-09 11:52:51,-3,2017-09-09 08:52:51,R137,1
92,92,269453,657113,Sat Sep  9 13:31:41 2017,SENTINEL-2A_40697,RELATIVE ORBIT 138,0.880428242528,0.00965367,-68.2337036,-67.4399033,2017-09-09 13:31:41,-4,2017-09-09 09:31:41,R138,1
93,93,271820,663019,Sat Sep  9 15:13:24 2017,SENTINEL-2A_40697,RELATIVE ORBIT 139,1.066088659,0.01150234,-71.4918976,-97.4160004,2017-09-09 15:13:24,-6,2017-09-09 09:13:24,R139,1
94,94,274339,668908,Sat Sep  9 16:54:53 2017,SENTINEL-2A_40697,RELATIVE ORBIT 140,1.26315699586,0.01252475,-73.9027023,-127.4729996,2017-09-09 16:54:53,-8,2017-09-09 08:54:53,R140,1
95,95,276709,674640,Sat Sep  9 18:33:39 2017,SENTINEL-2A_40697,RELATIVE ORBIT 141,0.8584128841490001,0.01093748,-67.8080978,-142.4420013,2017-09-09 18:33:39,-9,2017-09-09 09:33:39,R141,1
96,96,279086,680442,Sat Sep  9 20:15:24 2017,SENTINEL-2A_40697,RELATIVE ORBIT 142,1.02742362373,0.0131876,-71.1860962,-172.4179993,2017-09-09 20:15:24,-11,2017-09-09 09:15:24,R142,1
97,97,286240,697813,Sun Sep 10 01:17:24 2017,SENTINEL-2A_40697,RELATIVE ORBIT 2,0.992249142464,0.01081029,-70.8759003,112.5709991,2017-09-10 01:17:24,8,2017-09-10 09:17:24,R002,1
98,98,288603,703610,Sun Sep 10 02:58:55 2017,SENTINEL-2A_40697,RELATIVE ORBIT 3,1.20669584331,0.0123749,-73.4136963,82.5951996,2017-09-10 02:58:55,6,2017-09-10 08:58:55,R003,1
99,99,290964,709367,Sun Sep 10 04:37:35 2017,SENTINEL-2A_40697,RELATIVE ORBIT 4,0.820032038397,0.01138264,-66.9487991,67.5074005,2017-09-10 04:37:35,5,2017-09-10 09:37:35,R004,1
100,100,293345,715272,Sun Sep 10 06:19:24 2017,SENTINEL-2A_40697,RELATIVE ORBIT 5,0.992249142464,0.01348752,-70.57009890000002,37.5369987,2017-09-10 06:19:24,3,2017-09-10 09:19:24,R005,1
101,101,295708,721130,Sun Sep 10 08:00:56 2017,SENTINEL-2A_40697,RELATIVE ORBIT 6,1.20669584331,0.01435298,-73.17150119999998,7.5981302,2017-09-10 08:00:56,1,2017-09-10 09:00:56,R006,1
102,102,298050,726739,Sun Sep 10 09:39:32 2017,SENTINEL-2A_40697,RELATIVE ORBIT 7,0.80331942482,0.01108511,-66.4670029,-7.4875998,2017-09-10 09:39:32,0,2017-09-10 09:39:32,R007,1
103,103,300403,732619,Sun Sep 10 11:21:23 2017,SENTINEL-2A_40697,RELATIVE ORBIT 8,0.960242347642,0.01315186,-70.2072983,-37.4273987,2017-09-10 11:21:23,-2,2017-09-10 09:21:23,R008,1
104,104,302769,738486,Sun Sep 10 13:02:57 2017,SENTINEL-2A_40697,RELATIVE ORBIT 9,1.15532493156,0.012208,-72.9252014,-67.4083023,2017-09-10 13:02:57,-4,2017-09-10 09:02:57,R009,1
105,105,305126,744176,Sun Sep 10 14:41:29 2017,SENTINEL-2A_40697,RELATIVE ORBIT 10,0.788055911314,0.00995707,-65.9804993,-82.49890139999998,2017-09-10 14:41:29,-5,2017-09-10 09:41:29,R010,1
106,106,307504,749995,Sun Sep 10 16:23:23 2017,SENTINEL-2A_40697,RELATIVE ORBIT 11,0.960242347642,0.01119505,-69.8962021,-112.4889984,2017-09-10 16:23:23,-7,2017-09-10 09:23:23,R011,1
107,107,309872,755937,Sun Sep 10 18:04:58 2017,SENTINEL-2A_40697,RELATIVE ORBIT 12,1.15532493156,0.01394213,-72.6774979,-142.4279938,2017-09-10 18:04:58,-9,2017-09-10 09:04:58,R012,1
108,108,312300,761769,Sun Sep 10 19:46:22 2017,SENTINEL-2A_40697,RELATIVE ORBIT 13,1.39331010387,0.01431597,-74.7858963,-172.4960022,2017-09-10 19:46:22,-11,2017-09-10 08:46:22,R013,1
109,109,321899,784852,Mon Sep 11 02:27:20 2017,SENTINEL-2A_40697,RELATIVE ORBIT 17,0.904587414074,0.01258421,-69.1092987,97.5728989,2017-09-11 02:27:20,7,2017-09-11 09:27:20,R017,1
110,110,324270,790730,Mon Sep 11 04:08:58 2017,SENTINEL-2A_40697,RELATIVE ORBIT 18,1.10859447346,0.01307582,-72.07520289999998,67.6875992,2017-09-11 04:08:58,5,2017-09-11 09:08:58,R018,1
111,111,326790,796514,Mon Sep 11 05:50:25 2017,SENTINEL-2A_40697,RELATIVE ORBIT 19,1.3251904396699998,0.01379547,-74.3600006,37.5657997,2017-09-11 05:50:25,3,2017-09-11 08:50:25,R019,1
112,112,329166,802267,Mon Sep 11 07:29:19 2017,SENTINEL-2A_40697,RELATIVE ORBIT 20,0.880428857292,0.01065045,-68.740799,22.5405006,2017-09-11 07:29:19,2,2017-09-11 09:29:19,R020,1
113,113,331538,808145,Mon Sep 11 09:11:00 2017,SENTINEL-2A_40697,RELATIVE ORBIT 21,1.066088659,0.01243254,-71.8761978,-7.4698501,2017-09-11 09:11:00,0,2017-09-11 09:11:00,R021,1
114,114,334037,813986,Mon Sep 11 10:52:27 2017,SENTINEL-2A_40697,RELATIVE ORBIT 22,1.32518951221,0.01437185,-74.1700974,-37.4861984,2017-09-11 10:52:27,-2,2017-09-11 08:52:27,R022,1
115,115,336404,819595,Mon Sep 11 12:31:17 2017,SENTINEL-2A_40697,RELATIVE ORBIT 23,0.880428068581,0.01131017,-68.316803,-52.4389992,2017-09-11 12:31:17,-3,2017-09-11 09:31:17,R023,1
116,116,338776,825487,Mon Sep 11 14:13:00 2017,SENTINEL-2A_40697,RELATIVE ORBIT 24,1.066088659,0.01309085,-71.57189940000002,-82.4505005,2017-09-11 14:13:00,-5,2017-09-11 09:13:00,R024,1
117,117,341296,831407,Mon Sep 11 15:54:28 2017,SENTINEL-2A_40697,RELATIVE ORBIT 25,1.26315607813,0.012191,-73.9291,-112.4300003,2017-09-11 15:54:28,-7,2017-09-11 08:54:28,R025,1
